# Train        Test        
    0.746341     0.811978 
    0.662369     0.724234 
    0.645296     0.724234 
    0.652613     0.722841 
    0.643206     0.722841 
    0.648432     0.722841 
    0.651568     0.722841 
    0.645296     0.718663 
    0.650871     0.720056 
    0.629268     0.720056 
    0.640070     0.720056 
    0.640070     0.710306 
    0.643554     0.703343 
    0.641115     0.717270 
    0.645993     0.718663 
    0.651916     0.715877 
    0.650871     0.714485 
    0.649477     0.711699 
    0.644599     0.713092 
    0.651220     0.713092 
    0.646341     0.707521 
    0.646341     0.708914 
    0.644599     0.714485 
    0.647387     0.711699 
    0.646690     0.718663 
    0.641463     0.717270 
    0.647735     0.715877 
    0.639373     0.715877 
    0.636934     0.718663 
    0.625784     0.714485 
    0.623693     0.708914 
    0.629965     0.713092 
    0.613240     0.683844 
    0.617073     0.703343 
    0.603484     0.703343 
    0.604181     0.537604 
    0.599652     0.536212 
    0.577352     0.536212 
    0.576307     0.536212 
    0.578049     0.536212 
    0.567944     0.536212 
    0.557143     0.536212 
    0.552265     0.536212 
    0.544948     0.536212 
    0.544599     0.536212 
    0.548084     0.536212 
    0.551220     0.536212 
    0.550871     0.536212 
    0.543902     0.536212 
    0.556794     0.536212 
