# Train        Test        
    0.970210     0.696745 
    0.780518     0.684580 
    0.761556     0.681448 
    0.763084     0.683896 
    0.762097     0.684926 
    0.761317     0.685825 
    0.761214     0.683225 
    0.762254     0.687061 
    0.762260     0.681722 
    0.763440     0.683467 
    0.761134     0.683940 
    0.761175     0.683935 
    0.761901     0.679506 
    0.762173     0.684727 
    0.758551     0.683156 
    0.761039     0.684354 
    0.757804     0.683742 
    0.764249     0.681751 
    0.759973     0.680983 
    0.760999     0.680463 
    0.760826     0.682015 
    0.762105     0.680521 
    0.764855     0.682053 
    0.763688     0.682870 
    0.760717     0.684130 
    0.758665     0.681765 
    0.758855     0.681780 
    0.765855     0.684623 
    0.762468     0.685086 
    0.758768     0.684902 
    0.758974     0.681977 
    0.761048     0.683659 
    0.765047     0.680349 
    0.758659     0.681816 
    0.759633     0.683628 
    0.760120     0.673290 
    0.761300     0.672021 
    0.764076     0.672296 
    0.760823     0.668431 
    0.760102     0.672153 
    0.759735     0.665582 
    0.761550     0.675476 
    0.759459     0.674174 
    0.757490     0.675815 
    0.759657     0.673111 
    0.754448     0.674751 
    0.759846     0.673949 
    0.757264     0.674863 
    0.757148     0.672606 
    0.762122     0.676625 
