# Train        Test        
    0.512195     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.509408     0.463788 
    0.509059     0.463788 
    0.509059     0.463788 
    0.510105     0.463788 
    0.509059     0.463788 
    0.509408     0.463788 
    0.509059     0.463788 
    0.509408     0.463788 
    0.509408     0.463788 
    0.505226     0.463788 
    0.512195     0.463788 
    0.502091     0.458217 
    0.510453     0.456825 
    0.511150     0.458217 
    0.507666     0.456825 
    0.505226     0.461003 
    0.506272     0.461003 
