# Train        Test        
    1.357243     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305641     1.294445 
    1.305665     1.294445 
    1.305665     1.294445 
    1.305594     1.294445 
    1.305638     1.294445 
    1.305641     1.294445 
    1.305638     1.294445 
    1.305641     1.294445 
    1.305264     1.294445 
    1.304452     1.294445 
    1.303548     1.294445 
    1.301791     1.287886 
    1.300491     1.287020 
    1.299580     1.287124 
    1.298763     1.286960 
    1.297352     1.285875 
    1.295769     1.285974 
