# Train        Test        
    0.192126     0.130248 
    0.126217     0.120604 
    0.114240     0.120470 
    0.114444     0.120345 
    0.115947     0.119782 
    0.114460     0.120885 
    0.113612     0.121120 
    0.113462     0.120913 
    0.115375     0.118674 
    0.116909     0.120843 
    0.116729     0.120531 
    0.113996     0.119340 
    0.113444     0.120977 
    0.114526     0.119358 
    0.115884     0.120850 
    0.115646     0.121814 
    0.115863     0.120346 
    0.113773     0.120703 
    0.113474     0.120548 
    0.114941     0.120580 
    0.115108     0.120071 
    0.116634     0.119949 
    0.114125     0.118981 
    0.115707     0.120060 
    0.115100     0.121605 
    0.114385     0.121021 
    0.115929     0.120688 
    0.114988     0.121267 
    0.116148     0.121100 
    0.114827     0.121980 
    0.116096     0.121284 
    0.115888     0.121666 
    0.116361     0.119252 
    0.115805     0.120030 
    0.116432     0.121014 
    0.115087     0.121062 
    0.114824     0.121458 
    0.116420     0.122105 
    0.115484     0.120697 
    0.116331     0.122286 
    0.115869     0.121384 
    0.117374     0.120524 
    0.116894     0.122246 
    0.117512     0.121429 
    0.117136     0.121419 
    0.116504     0.120780 
    0.116254     0.120927 
    0.116480     0.120989 
    0.116867     0.120582 
    0.118047     0.121588 
