# Train        Test        
    0.903833     0.910864 
    0.937979     0.919220 
    0.937979     0.917827 
    0.934843     0.917827 
    0.934495     0.917827 
    0.933449     0.919220 
    0.935889     0.919220 
    0.937979     0.919220 
    0.935192     0.920613 
    0.932404     0.920613 
    0.932056     0.920613 
    0.937282     0.920613 
    0.938328     0.920613 
    0.937979     0.922006 
    0.934843     0.917827 
    0.937282     0.917827 
    0.936934     0.920613 
    0.935889     0.917827 
    0.940767     0.917827 
    0.935192     0.920613 
    0.935192     0.922006 
    0.936237     0.920613 
    0.937282     0.922006 
    0.936237     0.916435 
    0.939373     0.916435 
    0.936237     0.917827 
    0.935889     0.917827 
    0.936237     0.917827 
    0.936934     0.917827 
    0.937282     0.920613 
    0.935540     0.920613 
    0.934843     0.922006 
    0.936237     0.922006 
    0.936237     0.922006 
    0.932753     0.922006 
    0.936934     0.922006 
    0.937282     0.922006 
    0.935540     0.916435 
    0.937979     0.916435 
    0.938328     0.919220 
    0.936585     0.919220 
    0.933798     0.919220 
    0.935540     0.917827 
    0.938676     0.917827 
    0.934495     0.920613 
    0.937631     0.919220 
    0.937979     0.919220 
    0.933798     0.919220 
    0.934146     0.919220 
    0.935540     0.919220 
