# Train        Test        
    0.773519     0.895543 
    0.714286     0.536212 
    0.650174     0.536212 
    0.635540     0.536212 
    0.634146     0.536212 
    0.626132     0.536212 
    0.625087     0.536212 
    0.629617     0.536212 
    0.616725     0.536212 
    0.623693     0.536212 
    0.632753     0.537604 
    0.631010     0.537604 
    0.629965     0.536212 
    0.628920     0.536212 
    0.640767     0.536212 
    0.609408     0.536212 
    0.605226     0.536212 
    0.610801     0.536212 
    0.609408     0.536212 
    0.602439     0.536212 
    0.609756     0.536212 
    0.603833     0.536212 
    0.606620     0.536212 
    0.610105     0.536212 
    0.614983     0.536212 
    0.616725     0.536212 
    0.618118     0.536212 
    0.614286     0.536212 
    0.610801     0.536212 
    0.619164     0.536212 
    0.608711     0.536212 
    0.609059     0.536212 
    0.618467     0.536212 
    0.630314     0.536212 
    0.630314     0.536212 
    0.637282     0.536212 
    0.628571     0.536212 
    0.645645     0.536212 
    0.637979     0.536212 
    0.626132     0.536212 
    0.633101     0.811978 
    0.635540     0.536212 
    0.629965     0.536212 
    0.627526     0.536212 
    0.629965     0.536212 
    0.614634     0.536212 
    0.612544     0.536212 
    0.613937     0.536212 
    0.608711     0.536212 
    0.616376     0.536212 
