# Train        Test        
    0.945987     0.775462 
    0.809258     0.671435 
    0.765171     0.667733 
    0.763390     0.668629 
    0.766928     0.669035 
    0.768835     0.665658 
    0.763743     0.667232 
    0.762920     0.663378 
    0.766419     0.663701 
    0.764407     0.671329 
    0.759720     0.671317 
    0.765009     0.670421 
    0.762130     0.665932 
    0.761629     0.669508 
    0.764485     0.662825 
    0.765979     0.670769 
    0.768519     0.667811 
    0.767310     0.665427 
    0.769450     0.669081 
    0.765480     0.669255 
    0.761741     0.665744 
    0.762195     0.665666 
    0.764177     0.665853 
    0.768031     0.667270 
    0.767902     0.664548 
    0.763283     0.664400 
    0.760422     0.669505 
    0.763489     0.667333 
    0.763640     0.668019 
    0.758598     0.665195 
    0.764545     0.668634 
    0.764853     0.667378 
    0.761941     0.670647 
    0.763641     0.675165 
    0.759839     0.673391 
    0.762317     0.668707 
    0.757775     0.669531 
    0.761772     0.670969 
    0.757211     0.670728 
    0.760775     0.673513 
    0.760769     0.678405 
    0.761154     0.671291 
    0.761376     0.666531 
    0.762395     0.670186 
    0.761649     0.671128 
    0.759394     0.668845 
    0.763642     0.666827 
    0.760013     0.671238 
    0.761741     0.674072 
    0.755533     0.668957 
