# Train        Test        
    0.612195     0.615599 
    0.611498     0.536212 
    0.533101     0.536212 
    0.531010     0.536212 
    0.533798     0.536212 
    0.528571     0.536212 
    0.537979     0.536212 
    0.531359     0.536212 
    0.531010     0.536212 
    0.532404     0.536212 
    0.528920     0.536212 
    0.526132     0.536212 
    0.529617     0.536212 
    0.532753     0.536212 
    0.530662     0.536212 
    0.530662     0.536212 
    0.528223     0.536212 
    0.534146     0.536212 
    0.533798     0.536212 
    0.527526     0.536212 
    0.536585     0.536212 
    0.533101     0.536212 
    0.531707     0.536212 
    0.528571     0.536212 
    0.535889     0.536212 
    0.540767     0.536212 
    0.534146     0.536212 
    0.531359     0.536212 
    0.539721     0.536212 
    0.535540     0.536212 
    0.527526     0.536212 
    0.533101     0.536212 
    0.535540     0.536212 
    0.537282     0.536212 
    0.535889     0.536212 
    0.538328     0.536212 
    0.535889     0.536212 
    0.533101     0.536212 
    0.538328     0.536212 
    0.530662     0.536212 
    0.538676     0.536212 
    0.534146     0.536212 
    0.540767     0.536212 
    0.532404     0.536212 
    0.542857     0.536212 
    0.540070     0.536212 
    0.535540     0.536212 
    0.532056     0.536212 
    0.540418     0.536212 
    0.528920     0.536212 
