# Train        Test        
    0.931110     0.689091 
    0.797309     0.660598 
    0.764027     0.667863 
    0.762729     0.665357 
    0.763538     0.666424 
    0.763953     0.665955 
    0.765143     0.666123 
    0.766500     0.664108 
    0.765827     0.667707 
    0.761357     0.666579 
    0.761447     0.664605 
    0.761058     0.666053 
    0.761519     0.664773 
    0.764676     0.664330 
    0.763783     0.663744 
    0.758706     0.662450 
    0.764913     0.668711 
    0.758967     0.664410 
    0.759379     0.666345 
    0.764157     0.665318 
    0.760584     0.663943 
    0.763900     0.664166 
    0.757276     0.665038 
    0.762964     0.667438 
    0.759616     0.664736 
    0.761121     0.666594 
    0.757749     0.662556 
    0.764257     0.665121 
    0.761714     0.663790 
    0.763017     0.661548 
    0.761006     0.665910 
    0.758739     0.664148 
    0.761267     0.666734 
    0.759423     0.665947 
    0.760914     0.662884 
    0.763049     0.666604 
    0.760819     0.667537 
    0.756748     0.667820 
    0.759340     0.665805 
    0.761470     0.664701 
    0.765961     0.664264 
    0.761017     0.661730 
    0.766490     0.666252 
    0.760416     0.663673 
    0.762995     0.665413 
    0.765254     0.666402 
    0.762679     0.667842 
    0.762503     0.667659 
    0.755886     0.666602 
    0.761903     0.664938 
