# Train        Test        
    0.809337     0.682557 
    0.748120     0.676876 
    0.772201     0.677753 
    0.769794     0.676883 
    0.769948     0.678485 
    0.768344     0.674712 
    0.767249     0.675386 
    0.768475     0.676259 
    0.767926     0.675422 
    0.770602     0.675371 
    0.769752     0.676366 
    0.767414     0.679555 
    0.765730     0.674929 
    0.764990     0.676013 
    0.767049     0.674415 
    0.767881     0.675949 
    0.766268     0.674579 
    0.767855     0.674341 
    0.762935     0.674293 
    0.765766     0.673312 
    0.761997     0.670298 
    0.764980     0.675495 
    0.761372     0.671438 
    0.762599     0.671480 
    0.762051     0.669614 
    0.764451     0.670453 
    0.759763     0.671583 
    0.762863     0.671047 
    0.760274     0.670748 
    0.762722     0.672653 
    0.757894     0.668150 
    0.761332     0.670229 
    0.759397     0.667662 
    0.760164     0.669908 
    0.758552     0.671085 
    0.758768     0.671988 
    0.757968     0.669139 
    0.757702     0.663877 
    0.759219     0.670119 
    0.757637     0.667304 
    0.757696     0.670029 
    0.756472     0.667405 
    0.756840     0.669546 
    0.755412     0.663248 
    0.754983     0.666881 
    0.755619     0.670139 
    0.752131     0.662706 
    0.751693     0.663023 
    0.752619     0.665641 
    0.750509     0.666863 
