# Train        Test        
    0.609059     0.690808 
    0.562369     0.536212 
    0.497213     0.536212 
    0.495470     0.536212 
    0.495470     0.536212 
    0.495819     0.536212 
    0.496167     0.536212 
    0.495122     0.536212 
    0.496516     0.536212 
    0.496167     0.536212 
    0.494425     0.536212 
    0.497909     0.536212 
    0.495819     0.536212 
    0.497213     0.536212 
    0.499303     0.536212 
    0.497561     0.536212 
    0.496167     0.536212 
    0.497213     0.536212 
    0.498955     0.536212 
    0.498606     0.536212 
    0.495819     0.536212 
    0.497561     0.536212 
    0.499652     0.536212 
    0.498606     0.536212 
    0.496167     0.536212 
    0.495470     0.536212 
    0.498606     0.536212 
    0.501045     0.536212 
    0.501394     0.536212 
    0.500348     0.536212 
    0.498955     0.536212 
    0.504181     0.536212 
    0.495470     0.536212 
    0.496864     0.536212 
    0.496864     0.536212 
    0.497213     0.536212 
    0.498258     0.536212 
    0.497213     0.536212 
    0.501742     0.536212 
    0.503484     0.536212 
    0.499303     0.536212 
    0.501045     0.536212 
    0.499652     0.536212 
    0.503136     0.536212 
    0.498955     0.536212 
    0.502439     0.536212 
    0.501742     0.536212 
    0.502091     0.536212 
    0.500697     0.536212 
    0.503484     0.536212 
