# Train        Test        
    0.509408     0.463788 
    0.495122     0.536212 
    0.493380     0.536212 
    0.488153     0.536212 
    0.482927     0.536212 
    0.491638     0.536212 
    0.489547     0.536212 
    0.496516     0.536212 
    0.490244     0.536212 
    0.488502     0.536212 
    0.492683     0.536212 
    0.486411     0.536212 
    0.494774     0.536212 
    0.487805     0.536212 
    0.489199     0.536212 
    0.489547     0.536212 
    0.495470     0.536212 
    0.492334     0.536212 
    0.495122     0.536212 
    0.491986     0.536212 
    0.492683     0.536212 
    0.489547     0.536212 
    0.490941     0.536212 
    0.488502     0.536212 
    0.489199     0.536212 
    0.485366     0.536212 
    0.485714     0.536212 
    0.494077     0.536212 
    0.488153     0.536212 
    0.494077     0.536212 
    0.493031     0.536212 
    0.493728     0.536212 
    0.489547     0.536212 
    0.495819     0.536212 
    0.487456     0.536212 
    0.483275     0.536212 
    0.490244     0.536212 
    0.489895     0.536212 
    0.488153     0.536212 
    0.487456     0.536212 
    0.495122     0.536212 
    0.483275     0.536212 
    0.490592     0.536212 
    0.495470     0.536212 
    0.482927     0.536212 
    0.486063     0.536212 
    0.488502     0.536212 
    0.488153     0.536212 
    0.485366     0.536212 
    0.488153     0.536212 
