# Train        Test        
    1.387108     1.294445 
    1.194445     0.860735 
    1.106608     0.861187 
    1.099402     0.858557 
    1.094162     0.860050 
    1.087864     0.862201 
    1.093329     0.859161 
    1.102518     0.861615 
    1.101320     0.867623 
    1.097447     0.863315 
    1.075928     0.867426 
    1.081242     0.867444 
    1.099316     0.865433 
    1.091195     0.862850 
    1.085518     0.864361 
    1.085651     0.867627 
    1.076866     0.868365 
    1.085185     0.869727 
    1.097833     0.863847 
    1.082659     0.865382 
    1.092911     0.863372 
    1.087214     0.860172 
    1.100779     0.863902 
    1.082232     0.860952 
    1.080371     0.861555 
    1.097369     0.861119 
    1.113977     0.864659 
    1.084856     0.867228 
    1.084392     0.866978 
    1.081667     0.871372 
    1.095249     0.869307 
    1.086975     0.875765 
    1.085010     0.876106 
    1.095711     0.876688 
    1.095167     0.881355 
    1.067526     0.880699 
    1.093343     0.883277 
    1.082202     0.885856 
    1.091196     0.883793 
    1.090317     0.884508 
    1.077960     0.885808 
    1.077180     0.887872 
    1.083689     0.882731 
    1.083569     0.881924 
    1.079791     0.885723 
    1.099558     0.885237 
    1.075496     0.883914 
    1.080092     0.882475 
    1.094003     0.890072 
    1.081481     0.888091 
