# Train        Test        
    0.882927     0.923398 
    0.934843     0.924791 
    0.937979     0.923398 
    0.937631     0.922006 
    0.935540     0.923398 
    0.939721     0.923398 
    0.933449     0.926184 
    0.932753     0.924791 
    0.931359     0.923398 
    0.934146     0.926184 
    0.937631     0.922006 
    0.933798     0.923398 
    0.937631     0.924791 
    0.934495     0.926184 
    0.933101     0.926184 
    0.934146     0.926184 
    0.936585     0.926184 
    0.931707     0.927577 
    0.934146     0.926184 
    0.935889     0.926184 
    0.939721     0.926184 
    0.934146     0.924791 
    0.941463     0.923398 
    0.929617     0.923398 
    0.935889     0.926184 
    0.934843     0.923398 
    0.935889     0.923398 
    0.934495     0.920613 
    0.936585     0.923398 
    0.933449     0.926184 
    0.933798     0.924791 
    0.937282     0.926184 
    0.937979     0.926184 
    0.937631     0.926184 
    0.937631     0.924791 
    0.932404     0.928969 
    0.938328     0.926184 
    0.933449     0.924791 
    0.940767     0.924791 
    0.933449     0.926184 
    0.939373     0.926184 
    0.929617     0.928969 
    0.936934     0.927577 
    0.934146     0.927577 
    0.940418     0.928969 
    0.934495     0.930362 
    0.933449     0.926184 
    0.938676     0.926184 
    0.935540     0.926184 
    0.935192     0.926184 
