# Train        Test        
    0.281238     0.123673 
    0.134552     0.124912 
    0.127371     0.126035 
    0.124393     0.125556 
    0.123886     0.125838 
    0.124461     0.123938 
    0.125329     0.125150 
    0.127455     0.125871 
    0.126769     0.125752 
    0.124533     0.124386 
    0.124338     0.124916 
    0.127516     0.125418 
    0.124762     0.125115 
    0.126022     0.123750 
    0.127046     0.124593 
    0.123868     0.123321 
    0.128004     0.124834 
    0.127028     0.123651 
    0.123663     0.124067 
    0.125758     0.123254 
    0.123928     0.124603 
    0.124185     0.123315 
    0.119161     0.123528 
    0.126051     0.122222 
    0.122691     0.122949 
    0.123367     0.121540 
    0.122092     0.123494 
    0.125145     0.122354 
    0.124942     0.121941 
    0.127350     0.123708 
    0.123152     0.122278 
    0.121953     0.122047 
    0.121872     0.121794 
    0.122962     0.120943 
    0.123865     0.120350 
    0.123515     0.120391 
    0.122895     0.122452 
    0.123222     0.121780 
    0.124377     0.121251 
    0.125893     0.122517 
    0.122682     0.121261 
    0.123699     0.121455 
    0.124627     0.120126 
    0.121977     0.120367 
    0.123490     0.121321 
    0.123893     0.121228 
    0.123589     0.119622 
    0.122124     0.120599 
    0.121423     0.119697 
    0.121795     0.119629 
