# Train        Test        
    0.706272     0.537604 
    0.724739     0.906685 
    0.904530     0.906685 
    0.902439     0.909471 
    0.896516     0.909471 
    0.899652     0.905292 
    0.891986     0.906685 
    0.897561     0.905292 
    0.899303     0.906685 
    0.896516     0.903900 
    0.896864     0.899721 
    0.900697     0.901114 
    0.899303     0.905292 
    0.894077     0.903900 
    0.896167     0.903900 
    0.896516     0.898329 
    0.898258     0.901114 
    0.905923     0.905292 
    0.895470     0.903900 
    0.889547     0.903900 
    0.899652     0.903900 
    0.902439     0.903900 
    0.899303     0.910864 
    0.906969     0.905292 
    0.900697     0.902507 
    0.902787     0.909471 
    0.898955     0.906685 
    0.908014     0.903900 
    0.895819     0.905292 
    0.899652     0.905292 
    0.896167     0.908078 
    0.895470     0.903900 
    0.897909     0.906685 
    0.896516     0.908078 
    0.896516     0.906685 
    0.900000     0.905292 
    0.896167     0.906685 
    0.898955     0.906685 
    0.897561     0.910864 
    0.897909     0.910864 
    0.898606     0.906685 
    0.896864     0.906685 
    0.896516     0.903900 
    0.896864     0.905292 
    0.904530     0.909471 
    0.898258     0.902507 
    0.910105     0.905292 
    0.900000     0.908078 
    0.906620     0.910864 
    0.904878     0.910864 
