# Train        Test        
    1.366230     0.787346 
    0.974974     0.766429 
    0.900239     0.762399 
    0.902057     0.765518 
    0.895414     0.765950 
    0.893842     0.765237 
    0.894734     0.766903 
    0.897812     0.767105 
    0.893499     0.766600 
    0.901519     0.764818 
    0.888845     0.766701 
    0.895427     0.766724 
    0.897684     0.767400 
    0.898413     0.764845 
    0.892710     0.752591 
    0.893553     0.748024 
    0.884094     0.756441 
    0.894727     0.743635 
    0.890724     0.746433 
    0.887820     0.744423 
    0.887571     0.744726 
    0.893700     0.745191 
    0.891943     0.742455 
    0.887920     0.744459 
    0.884390     0.747546 
    0.885975     0.733198 
    0.894211     0.730270 
    0.888979     0.729466 
    0.889676     0.731321 
    0.887813     0.730718 
    0.885394     0.731143 
    0.887391     0.728921 
    0.886586     0.731638 
    0.890678     0.731676 
    0.884820     0.736966 
    0.880296     0.736629 
    0.880308     0.734952 
    0.881123     0.739380 
    0.897163     0.695515 
    0.933166     0.693228 
    0.926331     0.691156 
    0.926092     0.697378 
    0.927022     0.699539 
    0.917893     0.704392 
    0.924009     0.720477 
    0.919394     0.718500 
    0.918245     0.724893 
    0.934204     0.698933 
    0.923418     0.701591 
    0.935535     0.703928 
