# Train        Test        
    0.748432     0.536212 
    0.659233     0.536212 
    0.600348     0.536212 
    0.599303     0.536212 
    0.613240     0.536212 
    0.583275     0.536212 
    0.559930     0.536212 
    0.574564     0.536212 
    0.565157     0.536212 
    0.572822     0.536212 
    0.580139     0.536212 
    0.563763     0.536212 
    0.551220     0.536212 
    0.549477     0.536212 
    0.531707     0.536212 
    0.516028     0.536212 
    0.524042     0.536212 
    0.512195     0.536212 
    0.506969     0.536212 
    0.506969     0.536212 
    0.508711     0.536212 
    0.500000     0.536212 
    0.494425     0.536212 
    0.494425     0.536212 
    0.494077     0.536212 
    0.494774     0.536212 
    0.492683     0.536212 
    0.491289     0.536212 
    0.492683     0.536212 
    0.494077     0.536212 
    0.491638     0.536212 
    0.491289     0.536212 
    0.491289     0.536212 
    0.490941     0.536212 
    0.490941     0.536212 
    0.491289     0.536212 
    0.490941     0.536212 
    0.490592     0.536212 
    0.490592     0.536212 
    0.490244     0.536212 
    0.491638     0.536212 
    0.492683     0.536212 
    0.494774     0.536212 
    0.516376     0.536212 
    0.528920     0.536212 
    0.529617     0.536212 
    0.552962     0.536212 
    0.572822     0.536212 
    0.610453     0.536212 
    0.603833     0.536212 
