# Train        Test        
    0.902091     0.923398 
    0.936237     0.927577 
    0.940070     0.927577 
    0.940070     0.927577 
    0.940418     0.928969 
    0.939721     0.928969 
    0.937631     0.930362 
    0.942160     0.928969 
    0.940418     0.928969 
    0.936585     0.928969 
    0.937631     0.927577 
    0.943554     0.927577 
    0.942509     0.930362 
    0.936934     0.930362 
    0.941463     0.930362 
    0.939024     0.927577 
    0.940767     0.927577 
    0.940070     0.928969 
    0.943902     0.930362 
    0.939373     0.928969 
    0.940418     0.928969 
    0.939024     0.927577 
    0.939024     0.928969 
    0.942160     0.933148 
    0.940767     0.930362 
    0.943206     0.927577 
    0.936237     0.928969 
    0.940070     0.926184 
    0.942160     0.930362 
    0.941115     0.933148 
    0.940070     0.928969 
    0.941812     0.928969 
    0.935889     0.930362 
    0.940418     0.933148 
    0.941812     0.928969 
    0.942509     0.931755 
    0.938328     0.930362 
    0.943554     0.928969 
    0.939721     0.930362 
    0.942857     0.931755 
    0.939373     0.931755 
    0.942857     0.931755 
    0.942857     0.930362 
    0.942160     0.930362 
    0.941463     0.931755 
    0.941115     0.930362 
    0.942160     0.933148 
    0.944251     0.933148 
    0.942857     0.933148 
    0.940767     0.931755 
