# Train        Test        
    0.204497     0.127340 
    0.132311     0.124020 
    0.137709     0.123739 
    0.138761     0.123235 
    0.137299     0.122965 
    0.135961     0.124090 
    0.136793     0.123378 
    0.138132     0.124391 
    0.139175     0.123905 
    0.137937     0.123719 
    0.137492     0.123021 
    0.134424     0.121179 
    0.135934     0.121412 
    0.135608     0.121480 
    0.134983     0.122831 
    0.135553     0.122340 
    0.134948     0.122376 
    0.134812     0.122053 
    0.136526     0.121414 
    0.135157     0.120845 
    0.134768     0.121187 
    0.133478     0.121055 
    0.134262     0.121286 
    0.134440     0.120880 
    0.132987     0.120985 
    0.134998     0.120341 
    0.133954     0.120821 
    0.132931     0.120587 
    0.131271     0.120967 
    0.134442     0.121008 
    0.133643     0.120891 
    0.133392     0.121532 
    0.132970     0.120201 
    0.132376     0.118556 
    0.132867     0.120408 
    0.132328     0.116402 
    0.133322     0.119888 
    0.130964     0.119368 
    0.131109     0.118531 
    0.130920     0.118899 
    0.130876     0.119072 
    0.131403     0.121069 
    0.130858     0.118910 
    0.127797     0.119522 
    0.131203     0.120044 
    0.131054     0.120125 
    0.132317     0.118300 
    0.129265     0.118024 
    0.126900     0.118093 
    0.129366     0.118224 
