# Train        Test        
    0.569338     0.536212 
    0.505226     0.536212 
    0.501045     0.536212 
    0.497213     0.536212 
    0.495470     0.536212 
    0.499303     0.536212 
    0.500348     0.536212 
    0.500000     0.536212 
    0.497561     0.536212 
    0.497561     0.536212 
    0.495122     0.536212 
    0.493728     0.536212 
    0.497213     0.536212 
    0.497213     0.536212 
    0.499303     0.536212 
    0.495122     0.536212 
    0.499303     0.536212 
    0.497213     0.536212 
    0.498606     0.536212 
    0.495470     0.536212 
    0.496516     0.536212 
    0.495819     0.536212 
    0.495122     0.536212 
    0.498258     0.536212 
    0.498606     0.536212 
    0.497909     0.536212 
    0.493728     0.536212 
    0.495819     0.536212 
    0.496167     0.536212 
    0.497213     0.536212 
    0.496167     0.536212 
    0.497561     0.536212 
    0.495470     0.536212 
    0.495122     0.536212 
    0.495470     0.536212 
    0.497561     0.536212 
    0.497213     0.536212 
    0.496516     0.536212 
    0.494077     0.536212 
    0.495819     0.536212 
    0.494774     0.536212 
    0.493728     0.536212 
    0.494425     0.536212 
    0.494077     0.536212 
    0.493728     0.536212 
    0.491986     0.536212 
    0.495819     0.536212 
    0.493380     0.536212 
    0.492334     0.536212 
    0.494774     0.536212 
