# Train        Test        
    1.107472     0.772701 
    0.901480     0.774184 
    0.861946     0.774597 
    0.858643     0.776356 
    0.860458     0.776628 
    0.861277     0.776008 
    0.860196     0.777451 
    0.859381     0.774495 
    0.857922     0.771497 
    0.858551     0.775943 
    0.859608     0.775321 
    0.860236     0.777956 
    0.860323     0.774168 
    0.859729     0.776859 
    0.862171     0.775329 
    0.859987     0.777172 
    0.862287     0.778908 
    0.856601     0.776319 
    0.854665     0.774405 
    0.857495     0.776912 
    0.854986     0.773971 
    0.857676     0.772902 
    0.857438     0.773716 
    0.854499     0.775118 
    0.861521     0.774316 
    0.851130     0.771779 
    0.856341     0.778239 
    0.859316     0.775228 
    0.858223     0.775537 
    0.856415     0.772048 
    0.856399     0.771283 
    0.852813     0.776406 
    0.853562     0.771713 
    0.861214     0.770209 
    0.860616     0.773698 
    0.855095     0.771128 
    0.855106     0.770696 
    0.859332     0.772350 
    0.859540     0.772293 
    0.852529     0.772563 
    0.857599     0.769824 
    0.853594     0.770403 
    0.856426     0.770746 
    0.850995     0.774372 
    0.853757     0.766512 
    0.858314     0.770074 
    0.856797     0.771715 
    0.857065     0.773725 
    0.857069     0.770805 
    0.850634     0.773289 
