# Train        Test        
    0.201882     0.128904 
    0.132336     0.122168 
    0.133740     0.121487 
    0.135501     0.123218 
    0.132952     0.122542 
    0.134184     0.121571 
    0.132452     0.122660 
    0.131771     0.121827 
    0.131779     0.121604 
    0.130285     0.120517 
    0.130761     0.121584 
    0.132363     0.121451 
    0.131895     0.121119 
    0.130716     0.120228 
    0.131533     0.120493 
    0.132571     0.121355 
    0.132509     0.119594 
    0.133495     0.121006 
    0.131053     0.119524 
    0.129889     0.119533 
    0.131157     0.119583 
    0.129917     0.120013 
    0.132803     0.118215 
    0.129124     0.119888 
    0.131674     0.119245 
    0.129849     0.119869 
    0.127854     0.118877 
    0.127578     0.119463 
    0.128898     0.119704 
    0.129423     0.117583 
    0.131013     0.118529 
    0.129308     0.117043 
    0.129155     0.117719 
    0.129790     0.118199 
    0.128416     0.117532 
    0.128552     0.118433 
    0.129223     0.117989 
    0.128743     0.119848 
    0.128559     0.118474 
    0.129638     0.118692 
    0.128682     0.117737 
    0.127033     0.116809 
    0.126085     0.118190 
    0.125933     0.118465 
    0.127762     0.116650 
    0.126716     0.117428 
    0.125187     0.117618 
    0.128500     0.117590 
    0.127346     0.117648 
    0.126052     0.117060 
