# Train        Test        
    0.897909     0.919220 
    0.928571     0.937326 
    0.942857     0.940111 
    0.941463     0.937326 
    0.941115     0.937326 
    0.940767     0.938719 
    0.944599     0.940111 
    0.945296     0.937326 
    0.939721     0.941504 
    0.937282     0.937326 
    0.944251     0.937326 
    0.942509     0.940111 
    0.939721     0.938719 
    0.940767     0.940111 
    0.941812     0.940111 
    0.937631     0.937326 
    0.937979     0.942897 
    0.941463     0.937326 
    0.943206     0.940111 
    0.940418     0.940111 
    0.940418     0.941504 
    0.942857     0.940111 
    0.939024     0.937326 
    0.942160     0.937326 
    0.938676     0.940111 
    0.939721     0.941504 
    0.944251     0.940111 
    0.942857     0.945682 
    0.940767     0.940111 
    0.940418     0.938719 
    0.941812     0.941504 
    0.942857     0.938719 
    0.944251     0.942897 
    0.937979     0.942897 
    0.940767     0.941504 
    0.943206     0.940111 
    0.942160     0.940111 
    0.943206     0.940111 
    0.941463     0.942897 
    0.936585     0.940111 
    0.943902     0.941504 
    0.943554     0.940111 
    0.945993     0.938719 
    0.941812     0.942897 
    0.940767     0.944290 
    0.941812     0.941504 
    0.943554     0.938719 
    0.940418     0.940111 
    0.942160     0.941504 
    0.940418     0.942897 
