# Train        Test        
    0.204463     0.150287 
    0.134949     0.125252 
    0.139339     0.123421 
    0.135103     0.124543 
    0.137864     0.124474 
    0.136542     0.123075 
    0.135884     0.124693 
    0.135912     0.123436 
    0.136095     0.124280 
    0.135337     0.122571 
    0.137146     0.123589 
    0.137228     0.123893 
    0.134932     0.123510 
    0.137761     0.122635 
    0.135666     0.123589 
    0.134940     0.124154 
    0.132225     0.123221 
    0.134948     0.123993 
    0.133567     0.123205 
    0.135307     0.122463 
    0.134848     0.121777 
    0.133192     0.121979 
    0.136691     0.123000 
    0.132147     0.121685 
    0.133012     0.121385 
    0.132963     0.122207 
    0.130171     0.120921 
    0.134488     0.121264 
    0.132416     0.121222 
    0.133220     0.120987 
    0.133067     0.121968 
    0.131549     0.119234 
    0.133299     0.122140 
    0.132898     0.121371 
    0.130985     0.121626 
    0.129636     0.121743 
    0.131081     0.121032 
    0.129950     0.121056 
    0.134063     0.120719 
    0.132450     0.120172 
    0.131618     0.120390 
    0.129549     0.119650 
    0.127329     0.118269 
    0.129366     0.119991 
    0.128961     0.120771 
    0.129446     0.118774 
    0.130788     0.119104 
    0.130668     0.120244 
    0.128500     0.119556 
    0.130557     0.120355 
