# Train        Test        
    0.900000     0.927577 
    0.928920     0.931755 
    0.938676     0.934540 
    0.941115     0.930362 
    0.939373     0.931755 
    0.937979     0.933148 
    0.940070     0.934540 
    0.936585     0.933148 
    0.938676     0.935933 
    0.940767     0.935933 
    0.938676     0.935933 
    0.935540     0.931755 
    0.941463     0.933148 
    0.938676     0.935933 
    0.938676     0.931755 
    0.937979     0.933148 
    0.944599     0.934540 
    0.939373     0.934540 
    0.936585     0.931755 
    0.939024     0.934540 
    0.937979     0.931755 
    0.941812     0.933148 
    0.940767     0.934540 
    0.937979     0.935933 
    0.939373     0.934540 
    0.937282     0.934540 
    0.944251     0.934540 
    0.942857     0.933148 
    0.941812     0.933148 
    0.943902     0.934540 
    0.938328     0.931755 
    0.940767     0.931755 
    0.939024     0.934540 
    0.941463     0.935933 
    0.942857     0.931755 
    0.942509     0.930362 
    0.937631     0.931755 
    0.941463     0.934540 
    0.937979     0.934540 
    0.943206     0.935933 
    0.937282     0.934540 
    0.943902     0.931755 
    0.942509     0.934540 
    0.943206     0.935933 
    0.941115     0.934540 
    0.942160     0.933148 
    0.939373     0.933148 
    0.939373     0.933148 
    0.939721     0.931755 
    0.940767     0.933148 
