# Train        Test        
    0.276832     0.141051 
    0.171942     0.150165 
    0.161882     0.149677 
    0.162050     0.149553 
    0.163840     0.149398 
    0.163896     0.149288 
    0.164856     0.149348 
    0.166880     0.148956 
    0.165969     0.147511 
    0.164269     0.147478 
