# Train        Test        
    0.693080     0.312665 
    0.309873     0.171443 
    0.281447     0.170856 
    0.279775     0.170049 
    0.281178     0.170133 
    0.279215     0.170618 
    0.270846     0.169581 
    0.277912     0.170496 
    0.284263     0.171979 
    0.283795     0.172438 
