# Train        Test        
    0.192407     0.127946 
    0.134063     0.127679 
    0.142161     0.127943 
    0.144081     0.126054 
    0.141129     0.127418 
    0.145252     0.125871 
    0.143367     0.126839 
    0.141133     0.126466 
    0.142897     0.126391 
    0.141543     0.126172 
    0.142950     0.126389 
    0.145028     0.124863 
    0.140860     0.126237 
    0.143579     0.125666 
    0.142138     0.124137 
    0.141526     0.123795 
    0.140908     0.125677 
    0.140936     0.125230 
    0.145275     0.124158 
    0.141685     0.124463 
    0.142114     0.124585 
    0.142082     0.123948 
    0.141225     0.124967 
    0.141525     0.124519 
    0.137847     0.124655 
    0.140672     0.123827 
    0.140145     0.122457 
    0.139708     0.125186 
    0.142636     0.124709 
    0.140555     0.123253 
    0.140043     0.123952 
    0.139821     0.123933 
    0.140322     0.124256 
    0.139540     0.123857 
    0.141038     0.123385 
    0.139058     0.124950 
    0.138703     0.124440 
    0.139032     0.123926 
    0.137877     0.124680 
    0.138877     0.123483 
    0.135380     0.123646 
    0.138419     0.123812 
    0.135728     0.123678 
    0.138975     0.122887 
    0.138130     0.122161 
    0.138243     0.123836 
    0.137402     0.123143 
    0.137128     0.121181 
    0.139345     0.123144 
    0.138152     0.124101 
